task,data,nrow,k,na,sort,active
groupby,G1_1e7_1e2_0_0,1e7,1e2,0,0,0
groupby,G1_1e7_1e1_0_0,1e7,1e1,0,0,0
groupby,G1_1e7_2e0_0_0,1e7,2e0,0,0,0
groupby,G1_1e7_1e2_0_1,1e7,1e2,0,1,0
groupby,G1_1e7_1e2_5_0,1e7,1e2,5,0,1
groupby,G1_1e8_1e2_0_0,1e8,1e2,0,0,0
groupby,G1_1e8_1e1_0_0,1e8,1e1,0,0,0
groupby,G1_1e8_2e0_0_0,1e8,2e0,0,0,0
groupby,G1_1e8_1e2_0_1,1e8,1e2,0,1,0
groupby,G1_1e8_1e2_5_0,1e8,1e2,5,0,0
groupby,G1_1e9_1e2_0_0,1e9,1e2,0,0,0
groupby,G1_1e9_1e1_0_0,1e9,1e1,0,0,0
groupby,G1_1e9_2e0_0_0,1e9,2e0,0,0,0
groupby,G1_1e9_1e2_0_1,1e9,1e2,0,1,0
groupby,G1_1e9_1e2_0_0,1e9,1e2,5,0,0
join,J1_1e7_NA_0_0,1e7,NA,0,0,1
join,J1_1e8_NA_0_0,1e8,NA,0,0,1
join,J1_1e9_NA_0_0,1e9,NA,0,0,1
