K,in_rows,question,out_rows
1e2,10000000,q1,100
1e2,10000000,q2,10000
1e2,10000000,q3,100000
1e2,10000000,q4,100
1e2,10000000,q5,100000
1e2,100000000,q1,100
1e2,100000000,q2,10000
1e2,100000000,q3,1000000
1e2,100000000,q4,100
1e2,100000000,q5,1000000
1e2,1000000000,q1,100
1e2,1000000000,q2,10000
1e2,1000000000,q3,10000000
1e2,1000000000,q4,100
1e2,1000000000,q5,10000000
1e1,10000000,q1,10
1e1,10000000,q2,100
1e1,10000000,q3,999951
1e1,10000000,q4,10
1e1,10000000,q5,999969
1e1,100000000,q1,10
1e1,100000000,q2,100
1e1,100000000,q3,9999518
1e1,100000000,q4,10
1e1,100000000,q5,9999512
1e1,1000000000,q1,10
1e1,1000000000,q2,100
1e1,1000000000,q3,99995425
1e1,1000000000,q4,10
1e1,1000000000,q5,99995357
2e0,10000000,q1,2
2e0,10000000,q2,4
2e0,10000000,q3,4323484
2e0,10000000,q4,2
2e0,10000000,q5,4323579
2e0,100000000,q1,2
2e0,100000000,q2,4
2e0,100000000,q3,43231389
2e0,100000000,q4,2
2e0,100000000,q5,43232226
2e0,1000000000,q1,2
2e0,1000000000,q2,4
2e0,1000000000,q3,431884560
2e0,1000000000,q4,2
2e0,1000000000,q5,431876300
